name,album,artist,popularity,genre
I Feel for You - Acoustic Demo,I Feel for You (Acoustic Demo) / I Feel for You,Prince,35,"['aesthetic rap', 'emo rap', 'sad lo-fi', 'sad rap']"
Working Class Hero - Remastered 2010,Plastic Ono Band,John Lennon,58,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'rock']"
The Times They Are A-Changin',The Times They Are A-Changin',Bob Dylan,67,"['classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter']"
Fire and Rain,Sweet Baby James,James Taylor,2,"['adult standards', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']"
More Than Words,Extreme II - Pornograffitti,Extreme,74,"['downtempo', 'electronica']"
Thugz Mansion - 2Pac Original/Acoustic,The Best Of 2Pac (Pt. 2: Life),2Pac,33,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",Unplugged (Deluxe Edition),Eric Clapton,71,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'mellow gold', 'rock']"
Yesterday - Remastered 2009,Help! (Remastered),The Beatles,76,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
Redemption Song,Uprising,Bob Marley & The Wailers,69,"['reggae', 'roots reggae']"
"The Sound of Silence - Live at Southern Illinois University, Carbondale, IL - November 1969",Live 1969,Simon & Garfunkel,32,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock']"
Stairway to Heaven - Remaster,Led Zeppelin IV (Deluxe Edition),Led Zeppelin,79,"['album rock', 'classic rock', 'hard rock', 'rock']"
I Won't Cry - Acoustic,Iyahcoustic,Ronnie Davis,26,"['dub', 'lovers rock', 'reggae', 'roots reggae']"
Angie,Goats Head Soup (Remastered 2009),The Rolling Stones,72,"['british invasion', 'classic rock', 'rock']"
Hey Joe,Are You Experienced,Jimi Hendrix,70,"['acid rock', 'album rock', 'blues rock', 'classic rock', 'hard rock', 'psychedelic rock', 'rock']"
Wonderwall - Remastered,(What's The Story) Morning Glory? (Deluxe Edition) [Remastered],Oasis,2,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']"
Hotel California - 2013 Remaster,Hotel California (2013 Remaster),Eagles,83,"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
Wish You Were Here,Wish You Were Here,Pink Floyd,76,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']"
Landslide,Fleetwood Mac,Fleetwood Mac,77,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
This Old Guitar,Back Home Again,John Denver,0,"['classic country pop', 'folk', 'folk rock', 'mellow gold', 'soft rock']"
Love Of My Life - Live,Queen Rock Montreal,Queen,27,"['k-pop', 'k-pop girl group']"
"Please, Please, Please, Let Me Get What I Want - 2011 Remaster",Louder Than Bombs,The Smiths,55,"['madchester', 'new wave', 'permanent wave', 'rock', 'uk post-punk']"
Life By the Drop,The Real Deal: Greatest Hits Volume 2,Stevie Ray Vaughan,28,"['album rock', 'blues', 'blues rock', 'classic rock', 'electric blues', 'instrumental rock', 'modern blues', 'rock', 'texas blues']"
Over the Rainbow,Somewhere Over the Rainbow The Best of Israel Kamakawiwo`ole,Israel Kamakawiwo'ole,64,['hawaiian']
"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",Unplugged (Deluxe Edition),Eric Clapton,69,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'mellow gold', 'rock']"
You've Got a Friend,Mud Slide Slim and the Blue Horizon,James Taylor,64,"['adult standards', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']"
I Want to Wake up with You - Acoustic,Blue Mountain Acoustic,Sadiki,3,['reggae fusion']
Hurt,Unearthed,Johnny Cash,55,"['contemporary country', 'country', 'country road']"
Blowin' in the Wind,The Freewheelin' Bob Dylan,Bob Dylan,69,"['classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter']"
Ain't No Sunshine,Just As I Am,Bill Withers,78,['smooth jazz']
Anything - Acoustic,Blue Mountain Acoustic,Sadiki,1,['reggae fusion']
Guinnevere,Greatest Hits,"Crosby, Stills & Nash",30,"['album rock', 'art rock', 'blues rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock']"
Forever,By My Side (Retrospective),Ben Harper,45,"['neo mellow', 'pop rock']"
The Needle and the Damage Done - 2009 Remaster,Harvest (2009 Remaster),Neil Young,58,"['album rock', 'canadian singer-songwriter', 'classic canadian rock', 'classic rock', 'mellow gold', 'permanent wave', 'rock', 'roots rock', 'singer-songwriter']"
3AM,Yourself or Someone Like You,Matchbox Twenty,70,"['neo mellow', 'pop rock', 'post-grunge']"
Dust in the Wind,Point Of Know Return (Expanded Edition),Kansas,77,"['album rock', 'art rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock']"
Sandman,America,America,51,"['neo soul', 'r&b']"
American Pie,The Best Of Don McLean,Don McLean,68,"['adult standards', 'classic rock', 'classic uk pop', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock']"
May You Never,Solid Air,John Martyn,16,"['british folk', 'classic uk pop', 'folk', 'folk rock', 'psychedelic folk', 'singer-songwriter']"
Annie's Song,Back Home Again,John Denver,0,"['classic country pop', 'folk', 'folk rock', 'mellow gold', 'soft rock']"
Daughters,Heavier Things,John Mayer,66,"['neo mellow', 'pop rock', 'singer-songwriter']"
Off He Goes,No Code,Pearl Jam,52,"['grunge', 'permanent wave', 'rock']"
Carolina in My Mind,Greatest Hits,James Taylor,65,"['adult standards', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']"
Dedicated To The One I Love,Deliver,The Mamas & The Papas,64,"['brill building pop', 'bubblegum pop', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'sunshine pop']"
Sing Me Back Home - 2001 Remaster,Sing Me Back Home,Merle Haggard & The Strangers,41,['bakersfield sound']
And I Love Her - Remastered 2009,A Hard Day's Night (Remastered),The Beatles,67,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
Blackbird - Live,Back In The U.S.,Paul McCartney,37,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'mellow gold', 'rock', 'soft rock']"
"Take Me Home, Country Roads - Rerecorded","The John Denver Collection, Vol. 1: Take Me Home Country Roads",John Denver,2,"['classic country pop', 'folk', 'folk rock', 'mellow gold', 'soft rock']"
California Dreamin' - Single Version,If You Can Believe Your Eyes & Ears,The Mamas & The Papas,76,"['brill building pop', 'bubblegum pop', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'sunshine pop']"
Here Comes The Sun - Remastered 2009,Abbey Road (Remastered),The Beatles,81,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
Everything I Own - Acoustic,Blue Mountain Acoustic (Deluxe Version),Sadiki,0,['reggae fusion']
Never Going Back Again - 2004 Remaster,Rumours (Super Deluxe),Fleetwood Mac,68,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
