name,album,artist,popularity,genre
Shape of You,÷ (Deluxe),Ed Sheeran,86,"['pop', 'uk pop']"
Blinding Lights,After Hours,The Weeknd,92,"['dfw rap', 'melodic rap', 'rap']"
Dance Monkey,Dance Monkey,Tones And I,65,"['australian pop', 'pop']"
rockstar (feat. 21 Savage),beerbongs & bentleys,Post Malone,84,"['dfw rap', 'melodic rap', 'rap']"
One Dance,Views,Drake,4,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Closer,Collage EP,The Chainsmokers,57,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']"
Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,87,"['pop', 'uk pop']"
Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,83,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
Señorita,Shawn Mendes (Deluxe),Shawn Mendes,79,"['canadian pop', 'dance pop', 'pop', 'viral pop']"
bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,85,"['art pop', 'electropop', 'pop']"
Perfect,÷ (Deluxe),Ed Sheeran,87,"['pop', 'uk pop']"
Thinking out Loud,x (Deluxe Edition),Ed Sheeran,83,"['pop', 'uk pop']"
Believer,Evolve,Imagine Dragons,0,"['modern rock', 'pop', 'rock']"
Say You Won't Let Go,Back from the Edge,James Arthur,85,"['pop', 'talent show', 'uk pop']"
God's Plan,Scorpion,Drake,82,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Lucid Dreams,Goodbye & Good Riddance,Juice WRLD,2,"['chicago rap', 'melodic rap']"
Photograph,x (Deluxe Edition),Ed Sheeran,84,"['pop', 'uk pop']"
SAD!,?,XXXTENTACION,84,"['emo rap', 'miami hip hop']"
Starboy,Starboy,The Weeknd,84,"['dfw rap', 'melodic rap', 'rap']"
Don't Start Now,Future Nostalgia,Dua Lipa,82,"['glam rock', 'mellow gold', 'piano rock']"
Havana (feat. Young Thug),Camila,Camila Cabello,81,"['dance pop', 'pop', 'post-teen pop']"
Something Just Like This,Memories...Do Not Open,The Chainsmokers,83,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']"
Love Yourself,Purpose (Deluxe),Justin Bieber,83,['australian hip hop']
Shallow,A Star Is Born Soundtrack,Lady Gaga,84,"['art pop', 'dance pop', 'pop']"
Bohemian Rhapsody - Remastered 2011,A Night At The Opera (Deluxe Remastered Version),Queen,74,"['k-pop', 'k-pop girl group']"
All of Me,Love In The Future (Expanded Edition),John Legend,86,"['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']"
Thunder,Evolve,Imagine Dragons,0,"['modern rock', 'pop', 'rock']"
New Rules,Dua Lipa (Deluxe),Dua Lipa,79,"['glam rock', 'mellow gold', 'piano rock']"
7 rings,"thank u, next",Ariana Grande,85,"['canadian contemporary r&b', 'canadian pop', 'pop']"
lovely (with Khalid),lovely (with Khalid),Billie Eilish,87,"['art pop', 'electropop', 'pop']"
XO Tour Llif3,Luv Is Rage 2,Lil Uzi Vert,83,"['melodic rap', 'philly rap', 'rap', 'trap']"
Jocelyn Flores,17,XXXTENTACION,86,"['emo rap', 'miami hip hop']"
goosebumps,Birds In The Trap Sing McKnight,Travis Scott,86,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Take Me to Church,Hozier,Hozier,65,"['irish singer-songwriter', 'pop']"
Circles,Hollywood's Bleeding,Post Malone,87,"['dfw rap', 'melodic rap', 'rap']"
Lean On (feat. MØ & DJ Snake),Peace Is The Mission,Major Lazer,0,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap', 'tropical house']"
Happier,Happier,Marshmello,83,"['brostep', 'edm', 'pop', 'pop dance', 'progressive electro house']"
SICKO MODE,ASTROWORLD,Travis Scott,84,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Sorry,Purpose (Deluxe),Justin Bieber,81,['australian hip hop']
Stressed Out,Blurryface,Twenty One Pilots,84,"['modern rock', 'rock']"
HUMBLE.,DAMN.,Kendrick Lamar,82,"['hip hop', 'rap']"
Better Now,beerbongs & bentleys,Post Malone,81,"['dfw rap', 'melodic rap', 'rap']"
Despacito - Remix,Despacito Feat. Justin Bieber (Remix),Luis Fonsi,72,"['latin', 'latin pop', 'puerto rican pop']"
Don't Let Me Down,Collage EP,The Chainsmokers,56,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']"
Watermelon Sugar,Fine Line,Harry Styles,89,['pop']
Faded,Faded,Alan Walker,73,['electro house']
Let Her Go,All the Little Lights,Passenger,0,"['alternative metal', 'nu metal', 'rap metal', 'rock', 'sacramento indie']"
Let Me Love You,Encore,DJ Snake,82,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']"
Congratulations,Stoney (Deluxe),Post Malone,82,"['dfw rap', 'melodic rap', 'rap']"
I Took A Pill In Ibiza - Seeb Remix,"At Night, Alone.",Mike Posner,72,"['dance pop', 'edm', 'pop', 'pop rap', 'rap']"
Roses - Imanbek Remix,Roses (Imanbek Remix),SAINt JHN,2,"['melodic rap', 'pop rap', 'rap', 'slap house', 'trap']"
Stay With Me,In The Lonely Hour,Sam Smith,82,"['dance pop', 'pop', 'uk pop']"
I Don't Care (with Justin Bieber),No.6 Collaborations Project,Ed Sheeran,76,"['pop', 'uk pop']"
Wake Me Up,Wake Me Up,Avicii,51,"['dance pop', 'edm', 'pop', 'pop dance']"
Treat You Better,Illuminate (Deluxe),Shawn Mendes,0,"['canadian pop', 'dance pop', 'pop', 'viral pop']"
"thank u, next","thank u, next",Ariana Grande,82,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Uptown Funk (feat. Bruno Mars),Uptown Special,Mark Ronson,82,"['dance pop', 'pop']"
Without Me,Manic,Halsey,77,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']"
Counting Stars,Native (Deluxe),OneRepublic,0,"['dance pop', 'neo mellow', 'piano rock', 'pop', 'pop rock']"
Too Good At Goodbyes,The Thrill Of It All (Special Edition),Sam Smith,74,"['dance pop', 'pop', 'uk pop']"
Unforgettable,Jungle Rules,French Montana,81,"['gangster rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Riptide,Dream Your Life Away (Special Edition),Vance Joy,78,"['folk-pop', 'modern rock', 'pop', 'pop rock']"
Stitches,Handwritten,Shawn Mendes,78,"['canadian pop', 'dance pop', 'pop', 'viral pop']"
Can't Hold Us - feat. Ray Dalton,The Heist,Macklemore & Ryan Lewis,83,"['pop rap', 'seattle hip hop']"
The Box,Please Excuse Me for Being Antisocial,Roddy Ricch,83,"['melodic rap', 'rap', 'trap']"
Girls Like You (feat. Cardi B) - Cardi B Version,Red Pill Blues (Deluxe),Maroon 5,66,"['pop', 'pop rock']"
The Hills,Beauty Behind The Madness,The Weeknd,0,"['dfw rap', 'melodic rap', 'rap']"
Cheap Thrills,This Is Acting,Sia,77,"['australian dance', 'australian pop', 'dance pop', 'pop']"
Moonlight,?,XXXTENTACION,84,"['emo rap', 'miami hip hop']"
Despacito,VIDA,Luis Fonsi,79,"['latin', 'latin pop', 'puerto rican pop']"
