name,album,artist,popularity,genre
Easy On Me,Easy On Me,Adele,100,"['british soul', 'pop', 'pop soul', 'uk pop']"
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift,90,['pop']
STAY (with Justin Bieber),F*CK LOVE 3: OVER YOU,The Kid LAROI,92,['australian hip hop']
INDUSTRY BABY (feat. Jack Harlow),MONTERO,Lil Nas X,90,"['lgbtq+ hip hop', 'pop']"
Cold Heart - PNAU Remix,The Lockdown Sessions,Elton John,84,"['glam rock', 'mellow gold', 'piano rock']"
Heat Waves,Dreamland (+ Bonus Levels),Glass Animals,91,"['gauze pop', 'indietronica', 'shiver pop']"
Shivers,=,Ed Sheeran,91,"['pop', 'uk pop']"
Bad Habits,=,Ed Sheeran,85,"['pop', 'uk pop']"
Pepas,La 167,Farruko,84,"['latin', 'reggaeton', 'trap latino']"
Smokin Out The Window,An Evening With Silk Sonic,Bruno Mars,71,"['dance pop', 'pop']"
Enemy (with JID) - from the series Arcane League of Legends,Enemy (with JID) [from the series Arcane League of Legends],Imagine Dragons,89,"['modern rock', 'pop', 'rock']"
MONEY,LALISA,LISA,92,['k-pop']
My Universe,Music Of The Spheres,Coldplay,85,"['permanent wave', 'pop']"
One Right Now (with The Weeknd),One Right Now,Post Malone,90,"['dfw rap', 'melodic rap', 'rap']"
Woman,Planet Her,Doja Cat,95,"['dance pop', 'pop']"
love nwantiti (ah ah ah),CKay The First,CKay,94,['afro r&b']
love nwantiti (feat. Dj Yo! & AX'EL) - Remix,love nwantiti (feat. Dj Yo! & AX'EL) [Remix],CKay,93,['afro r&b']
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,0,"['afro r&b', 'alternative r&b', 'ghanaian alternative', 'ghanaian pop', 'indie r&b']"
Toxic,Toxic,BoyWithUke,79,[]
good 4 u,SOUR,Olivia Rodrigo,94,['pop']
Need to Know,Planet Her,Doja Cat,93,"['dance pop', 'pop']"
THATS WHAT I WANT,MONTERO,Lil Nas X,94,"['lgbtq+ hip hop', 'pop']"
Do It To It,Do It To It,ACRAZE,87,[]
Beggin',Chosen,Måneskin,94,"['indie rock italiano', 'italian pop']"
Moth To A Flame (with The Weeknd),Moth To A Flame,Swedish House Mafia,92,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'progressive electro house']"
Happier Than Ever,Happier Than Ever,Billie Eilish,93,"['art pop', 'electropop', 'pop']"
Kiss Me More (feat. SZA),Planet Her,Doja Cat,86,"['dance pop', 'pop']"
MONTERO (Call Me By Your Name),MONTERO,Lil Nas X,90,"['lgbtq+ hip hop', 'pop']"
All Too Well (Taylor's Version),Red (Taylor's Version),Taylor Swift,84,['pop']
LA FAMA (with The Weeknd),LA FAMA (with The Weeknd),ROSALÍA,83,"['latin', 'reggaeton', 'trap latino']"
Ghost,Justice,Justin Bieber,87,['australian hip hop']
Already Dead,Already Dead,Juice WRLD,84,"['chicago rap', 'melodic rap']"
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,92,"['latin', 'latin hip hop', 'latin pop', 'pop reggaeton', 'reggaeton', 'trap latino']"
Red (Taylor's Version),Red (Taylor's Version),Taylor Swift,85,['pop']
Blinding Lights,After Hours,The Weeknd,92,"['dfw rap', 'melodic rap', 'rap']"
Where Are You Now,Where Are You Now,Lost Frequencies,91,"['belgian edm', 'edm', 'pop', 'pop dance', 'tropical house']"
Yonaguni,Yonaguni,Bad Bunny,92,"['latin', 'latin hip hop', 'latin pop', 'pop reggaeton', 'reggaeton', 'trap latino']"
abcdefu,abcdefu,GAYLE,79,[]
Life Goes On,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",Oliver Tree,93,['alternative hip hop']
Meet Me At Our Spot,THE ANXIETY,THE ANXIETY,91,['modern alternative pop']
Leave The Door Open,An Evening With Silk Sonic,Bruno Mars,67,"['dance pop', 'pop']"
Better Days (NEIKED x Mae Muller x Polo G),Better Days (NEIKED x Mae Muller x Polo G),NEIKED,89,"['scandipop', 'tropical house']"
traitor,SOUR,Olivia Rodrigo,92,['pop']
All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,Taylor Swift,0,['pop']
I Love You So,I Love You So,The Walters,86,"['chicago indie', 'indie pop']"
Enchanted,Speak Now,Taylor Swift,76,['pop']
Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),Red (Taylor's Version),Taylor Swift,83,['pop']
I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Red (Taylor's Version),Taylor Swift,82,['pop']
Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Red (Taylor's Version),Taylor Swift,83,['pop']
Todo De Ti,VICE VERSA,Rauw Alejandro,83,"['puerto rican pop', 'trap latino']"
