name,album,artist,popularity,genre
Pepas - Steve Aoki Remix - Radio Edit,Pepas Remix EP,Farruko,45,"['latin', 'reggaeton', 'trap latino']"
How Will I Know,How Will I Know,Whitney Houston,74,"['dance pop', 'pop', 'urban contemporary']"
By Your Side (feat. Tom Grennan),By Your Side (feat. Tom Grennan),Calvin Harris,79,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop rap', 'progressive house', 'uk dance']"
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],Riton,87,"['dance pop', 'edm', 'house', 'pop dance', 'pop rap', 'tropical house', 'uk dance']"
Promises,Promises,Diplo,67,"['dance pop', 'edm', 'electro house', 'house', 'moombahton', 'ninja', 'pop', 'pop dance', 'tropical house']"
Signals,Signals,Regard,68,"['dance pop', 'edm', 'pop', 'pop dance', 'pop edm', 'slap house', 'tropical house']"
BED,BED,Joel Corry,82,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']"
Don't Wait Up - Riton Mix,Don't Wait Up (Riton Mix),Shakira,59,"['aesthetic rap', 'sad rap']"
PULL UP (feat. Nile Rodgers),PULL UP (feat. Nile Rodgers),J. Rey Soul,54,[]
Rasputin,Rasputin,Majestic,84,"['house', 'pop dance', 'uk dance']"
Prisoner (feat. Dua Lipa) - Jax Jones Remix,Prisoner (feat. Dua Lipa) [Jax Jones Remix],Miley Cyrus,61,"['dance pop', 'pop', 'post-teen pop']"
Don't You Hold Me Down,Don't You Hold Me Down,Alan Walker,74,['electro house']
New Love (feat. Ellie Goulding),New Love (feat. Ellie Goulding),Silk City,2,"['edm', 'tropical house']"
Feel Your Love,Feel Your Love,Dimitri Vegas & Like Mike,69,"['belgian dance', 'belgian edm', 'big room', 'dance pop', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'tropical house']"
Secrets,Secrets,Regard,76,"['dance pop', 'edm', 'pop', 'pop dance', 'pop edm', 'slap house', 'tropical house']"
Don't Go Yet - Major Lazer Remix,Don't Go Yet (Major Lazer Remix),Camila Cabello,66,"['dance pop', 'pop', 'post-teen pop']"
Damage - Joel Corry Remix,Damage (Joel Corry Remix),H.E.R.,55,"['canadian contemporary r&b', 'pop', 'r&b']"
Too Much (feat. Usher),Too Much (feat. Usher),Marshmello,68,"['brostep', 'edm', 'pop', 'pop dance', 'progressive electro house']"
Dopamine (feat. Eyelar),Dopamine (feat. Eyelar),Purple Disco Machine,53,"['deep house', 'house', 'tropical house']"
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Vintage Culture & Bruno Be Remix,2019 Remixed,Martin Garrix,48,"['dance pop', 'dutch edm', 'edm', 'pop', 'pop dance', 'progressive house', 'tropical house']"
Goosebumps - Remix,Goosebumps (Remix),Travis Scott,84,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
The Business,The Business,Tiësto,87,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']"
I Don't Want You,I Don't Want You,Riton,72,"['dance pop', 'edm', 'house', 'pop dance', 'pop rap', 'tropical house', 'uk dance']"
Don't Start Now - Regard Remix,Don't Start Now (Regard Remix),Dua Lipa,45,"['glam rock', 'mellow gold', 'piano rock']"
you broke me first - Luca Schreiner Remix,you broke me first (Luca Schreiner Remix),Tate McRae,63,"['alt z', 'dance pop', 'pop', 'post-teen pop']"
What Other People Say - Sam Feldt Remix,What Other People Say (Sam Feldt Remix),Sam Fischer,35,"['alt z', 'australian pop', 'dance pop', 'pop', 'uk pop']"
Paradise (feat. Dermot Kennedy),Paradise,MEDUZA,83,"['edm', 'pop', 'pop dance', 'pop house', 'tropical house']"
I Wanna Be Your James Dean,I Wanna Be Your James Dean,Tomi Saario,41,[]
Say My Name,Say My Name,Dimitri Vegas & Like Mike,74,"['belgian dance', 'belgian edm', 'big room', 'dance pop', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'tropical house']"
Disco Body Parts (feat. AWOLNATION),Disco Body Parts (feat. AWOLNATION),Yung Bae,52,['future funk']
Like A Prayer (feat. Charla K),Like A Prayer (feat. Charla K),Galwaro,68,['melbourne bounce international']
