name,album,artist,popularity,genre
The Scientist,A Rush of Blood to the Head,Coldplay,84,"['permanent wave', 'pop']"
Love Story,Fearless,Taylor Swift,69,['pop']
Last Friday Night (T.G.I.F.),Teenage Dream,Katy Perry,71,"['dance pop', 'pop', 'post-teen pop']"
I Gotta Feeling,THE E.N.D. (THE ENERGY NEVER DIES),Black Eyed Peas,72,"['dance pop', 'pop', 'pop rap']"
Party In The U.S.A.,The Time Of Our Lives,Miley Cyrus,74,"['dance pop', 'pop', 'post-teen pop']"
Mr. Brightside,Hot Fuss,The Killers,76,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']"
Stereo Hearts (feat. Adam Levine),The Papercut Chronicles II,Gym Class Heroes,82,"['dance pop', 'pop rap']"
Airplanes (feat. Hayley Williams of Paramore),B.o.B Presents: The Adventures of Bobby Ray,B.o.B,76,"['atl hip hop', 'dirty south rap', 'hip hop', 'rap', 'southern hip hop']"
Payphone,Overexposed,Maroon 5,75,"['pop', 'pop rock']"
Viva La Vida,Viva La Vida or Death and All His Friends,Coldplay,80,"['permanent wave', 'pop']"
Everybody Talks,Picture Show,Neon Trees,82,"['modern rock', 'pop', 'pop rock', 'rock']"
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Planet Pit (Deluxe Version),Pitbull,82,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']"
DJ Got Us Fallin' In Love (feat. Pitbull),Raymond v Raymond (Expanded Edition),Usher,79,"['atl hip hop', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']"
Animal,Habits,Neon Trees,73,"['modern rock', 'pop', 'pop rock', 'rock']"
Tongue Tied,Never Trust a Happy Song,Grouplove,81,"['indie pop', 'indie rock', 'indietronica', 'la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp and holler']"
Starships,Pink Friday ... Roman Reloaded,Nicki Minaj,73,"['escape room', 'pop', 'r&b', 'rap latina', 'trap queen']"
California Gurls,Teenage Dream,Katy Perry,67,"['dance pop', 'pop', 'post-teen pop']"
Photograph,x (Deluxe Edition),Ed Sheeran,84,"['pop', 'uk pop']"
Low (feat. T-Pain),Mail on Sunday,Flo Rida,82,"['dance pop', 'miami hip hop', 'pop', 'pop rap']"
Fireflies,Ocean Eyes,Owl City,80,"['indietronica', 'modern rock', 'pop', 'pop rock', 'post-teen pop']"
In My Head,Jason Derulo,Jason Derulo,63,"['dance pop', 'pop', 'pop rap', 'post-teen pop']"
Titanium (feat. Sia),Nothing but the Beat 2.0,David Guetta,68,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']"
Umbrella,Good Girl Gone Bad,Rihanna,67,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']"
Ho Hey,The Lumineers,The Lumineers,72,"['folk-pop', 'modern rock', 'pop', 'pop rock', 'stomp and holler']"
Whistle,Wild Ones,Flo Rida,79,"['dance pop', 'miami hip hop', 'pop', 'pop rap']"
